Vehicle_Number,Ambiant_Pressure,Canister_Controler,Current_for_Injector_Opening,Distance_Km,Lambda_Adapation,Gear_Engaged,Lambda_Control_1,Lambda_Control_2,MAF_Before_Compressor,Engine_MAF,Fuel_Mass_Adapation,Engine_Speed,Turbo_Turbine_Speed,Injection_Number,Fuel_Pressure_at_Inlet_Pump,Fuel_Pressure,Turbo_Waste_Gate_Position,Pedal_Position,Turbo_Waste_Gate_Controler,Water_Pump_Controler,Engine_Thermostat_Controler,Engine_Air_Throttle_Controler,Fuel_Pump_Delivery,Segment_Number,Injector_Adapation1,Injector_Adapation2,Injector_Adapation3,Injector_Adapation4,Injector_Adapation5,Injector_Adapation6,Injector_Adapation7,Injector_Adapation8,Injector_Adapation9,Injector_Adapation10,Injector_Adapation11,Injector_Adapation12,Injector_Adapation13,Injector_Adapation14,Injector_Adapation15,Injector_Adapation16,Injector_Adapation17,Injector_Adapation18,Injector_Adapation19,Injector_Adapation20,Current_Time_for_Injector,Pump_Adaptation_2,Ambiant_Temperature,Engine_Coolant_Tempertaure,ECU_Temperature,TUrbo_Temperature_before_Turbine,Fuel_Temperature_Before_Pump,Fuel_Temperature_at_Pump_Outlet,Fuel_Temperature_In_Rail,Engine_Inlet_Temperture,time_30_s,timestamp,Engine_Oil_Temperature,Trt,Battery_Voltage,Voltage_Boost_Injector_control,Pump_Adaptation_1,Waste_Gate_Adapatation_1,Waste_Gate_Adapatation_2,Vehicle_Speed
VF1RFA00357131948,980.7747195168823,8.806134684484919,15.596389167236751,20710,-0.6820678710937469,5.921257391845627,14.573934794522003,18.03827205284005,68.96910007412276,283.24014748191473,0.04238956282932884,1992.4478680361033,61729.23632267122,1.0,0.0,245.07871789344182,59.23180033584888,48.926918483850635,-0.5007741738273654,80.999755859375,28.071299867254453,17.457687114040162,27.025131488792592,1.4995331465919701,440.03772171950703,435.69999999997395,433.1000000000106,489.6000000000201,0.0,440.5639001824237,439.39999999998827,428.1000000000096,512.0,0.0,439.2094459614082,447.89999999998673,421.0,468.5,0.0,430.8260318727571,427.6000000000095,425.6000000000091,476.0,0.0,367.4678535935453,1.456000000000055,30.75,93.62824158013586,82.97437930687371,750.8902759369134,30.75,50.65485337865531,67.69672093715727,48.45625577142681,521.0658681259943,1533144583,97.0,394680.24435107404,13.471668302747947,64.54606821196272,-0.006349063324604062,1.576034453848595,4.499969482421875,85.19421101774043
VF1RFA00357131948,963.08893843554,7.982265147872766,14.641682930819579,18448,0.8789062500000027,6.0,11.63784176298702,16.047048505959328,35.96494341178224,73.42117327318293,-0.1271686884867522,2967.0233860342555,24936.242198267384,1.0,0.0,238.31142266255813,69.58714948220361,29.36674332651812,-0.17299101708436512,80.999755859375,6.188589464624314,15.853164748870595,6.070932581794196,1.5003293807641633,447.0549253259522,442.0,446.6999999999746,450.19999999997447,0.0,444.93700896029094,457.6999999999741,457.3000000000259,460.199999999974,0.0,444.519314246456,437.3999999999934,452.6000000000095,454.0,0.0,437.61138563554925,439.800000000025,445.3000000000253,437.3999999999934,0.0,125.81006845009571,1.4279999999999642,18.75,90.22889392961795,63.17634910686333,741.7667975595945,18.75,43.27856146052354,50.39201898530936,35.45572060570851,699.4574757738886,1532071945,100.00040565253047,295684.537911726,14.470403515691071,64.36401323097071,-0.006450842794279887,1.5419006347656252,4.499969482421875,129.28656126482213
VF1RFA00357131948,970.696425010433,84.49941650418597,12.106834162627877,18898,-0.8819580078124974,6.0,18.24760242270236,18.07214980239619,19.80531877807248,75.31921217245201,-0.16955825131577937,2474.0961476205894,13525.776975837523,1.0,0.0,201.3608064810822,69.72045898411984,89.24958746992623,0.0335693359375,80.999755859375,0.0,4.128237884116861,16.7617253467387,1.5017805114923923,467.498384364759,0.0,449.6000000000104,0.0,0.0,492.7896248874512,0.0,0.0,0.0,0.0,451.798695218371,0.0,0.0,0.0,0.0,463.2868182331797,0.0,0.0,0.0,0.0,323.7535308541945,1.4313667853673242,19.861150120008183,91.86452123527951,77.57840680191359,603.2532639178349,19.838687475180027,44.6711157213399,50.327374142431715,40.92834840395543,143.85619226185463,1532331385,96.0,312699.89087083185,14.111148370705957,64.39652190984386,-0.0038889049177892716,1.5370178222656252,4.499969482421875,107.87795403043056
VF1RFA00357131948,910.4308100859818,43.31310438862116,15.822131978019872,21271,1.069641113281252,6.0,3.3777314178171776,13.283161832242829,151.29831237888223,450.06073587658364,-0.08477912565774091,2805.1854521625164,131988.28775060087,1.0,0.0,247.93129673988548,31.189402530622644,40.72083425599927,0.29476860207876704,80.999755859375,15.610140849412987,23.98995657610068,40.505617886302154,1.498689384010485,444.40533139345627,0.0,428.39999999999475,494.0,0.0,442.10602958680806,0.0,423.89999999999566,515.3999999999799,0.0,443.46884276769345,0.0,453.1999999999742,474.6000000000138,0.0,434.823854938787,0.0,433.19999999997515,515.5,0.0,384.4669393673845,1.4639999999999616,31.5,97.97679395607638,88.0,857.6785933141994,31.5,48.584423717002856,61.50861387079587,43.76056450836023,737.7716557563273,1533488968,101.6694161815989,429535.0591415463,13.270323596958129,64.53922016953055,-0.0012160147885739289,1.575763249251829,4.499969482421875,122.16743119266054
VF1RFA00357131948,985.8739369017097,23.19281661690496,,11544,3.022766113281251,5.0,26.70496709994153,24.859796390059888,,236.2433788333716,-0.021194781414203747,1839.1022756997122,37683.987378882,1.0,0.0,247.37592554426448,66.02953691527672,24.735953753874533,-0.8026392983116919,80.999755859375,9.146771669441623,12.96165523338735,22.94665175273669,1.4980381899032174,446.1207276140977,0.0,0.0,0.0,0.0,447.02722117339266,0.0,0.0,0.0,0.0,445.17581120009663,0.0,488.30000000003116,0.0,0.0,440.8195267133626,0.0,0.0,0.0,0.0,,1.3933539105414219,3.9281098862136274,86.64584705022406,37.0,645.986922507891,3.913149335609809,16.742954012194172,40.828556949325055,17.237694895084523,,1517371450,91.86011186453528,430819.08796756517,13.568850312741608,,-0.0052052194677938484,1.5309143066406252,4.499969482421876,66.77766152236464
VF1RFA00357131948,988.6022064963587,1.172779526867479,,12392,2.194213867187501,1.8323603002502085,43.24359835818323,31.521815491529857,36.00705510016606,187.10794193982895,0.06358434424384597,1424.8382911685665,26691.398058412266,1.4142340839588545,0.0,226.74021093278228,54.53537183937131,10.097340120969319,-3.621328272369168,76.53788780720527,2.8006211289373044,1.0867354779753893,18.801921925420114,1.4000556018904642,444.7092647928684,82.28862177522998,147.75188506827243,422.7121118504038,0.0,446.406954775989,82.76155265681021,150.16322254610682,196.06498506092052,0.0,448.00514350710955,83.9368632077971,451.21549865264603,436.5460367193775,0.0,436.4283660995745,83.47466087570571,182.35684078910108,193.44308369125193,0.0,,1.2158150786177482,11.813894149646263,62.13682647379871,52.10439640445425,724.6278108623886,11.818374545219996,34.059063004520475,41.93059868040002,29.742327163338636,256.2361074342214,1518738269,62.153632079912164,517571.6530442104,13.212068886529575,,-0.003431966195624518,1.5187198725395907,4.499969482421876,20.724677972384395
VF1RFA00357131948,963.519015658163,9.80170703671073,,12988,3.1707763671875013,6.0,17.976359633343616,18.159167687034437,50.78338258413147,201.72735491184497,0.14836346990188173,2108.1646012074993,36272.60826512503,1.0,0.0,243.98935981784615,69.23217773412004,49.18339728836026,0.4486083984375,80.999755859375,4.589523689348884,14.400050967351168,25.214480873942687,1.5014299332697807,446.45151003190534,0.0,494.3000000000281,0.0,0.0,445.96400090431354,0.0,0.0,0.0,0.0,446.93977658674896,0.0,0.0,0.0,0.0,440.51447247816816,0.0,0.0,0.0,0.0,,1.3079999999999934,9.75,88.48426592864209,47.37244707082558,653.307351180451,9.75,25.077663939938937,41.95508886268543,25.7706955323598,,1520332602,96.6436102034408,569575.0012074991,14.121852885483126,,6.541843153826951E-4,1.5577697753906252,4.499969482421876,91.7483317445186
VF1RFA00357131948,976.0068936750071,0.08544921875,12.332145902318556,21519,0.21514892578126027,6.0,17.71975817096347,20.295469857682505,33.593699093351724,68.27601018172079,-0.1271686884867519,2547.8123176661265,24228.463857683568,1.0,0.0,204.21510623319801,70.00732421849482,13.168286260088376,-0.482177734375,80.999755859375,0.06336215157979384,20.07008725373875,2.147171979246287,1.4985413290113452,446.12535206339476,430.6000000000066,440.10000000000855,445.69999999997435,0.0,445.0999852290714,424.1999999999754,445.69999999997435,457.1000000000117,0.0,436.8296094126697,446.5,451.699999999974,463.6000000000128,0.0,433.94188674195493,418.60000000000423,429.0,445.5,0.0,40.8445282108869,1.456000000000052,34.341677990983946,86.12266736288595,91.0,648.0667437689991,34.31895368153737,60.2274407337794,62.371479321205086,57.38891407868154,449.08383356106475,1533576517,97.55283302280914,442926.1142625604,14.310217592963632,64.57937509347077,-0.004804874358082099,1.5248107910156252,4.499969482421875,110.84246353322528
VF1RFA00357131948,973.9512730690859,75.38540651749602,14.744643381871466,21773,0.13398308480211604,6.0,17.735110770001064,17.512857222055672,61.342864551285935,213.97114176744552,-0.08477912565774098,2470.2731092436975,47012.44167990807,1.0,0.0,234.40865636107796,64.9782374123824,48.93349954981057,-0.5904471110738214,80.999755859375,7.174473716872328,8.235766983394178,24.93962541939258,1.5003232062055591,455.9888384935073,449.69999999997407,448.1999999999741,473.39999999998525,0.0,458.98190708609116,443.69999999997435,454.6000000000115,483.80000000002735,0.0,454.2577002690579,442.6999999999744,454.8999999999885,472.8000000000269,0.0,450.7124448260808,439.6000000000087,452.8999999999889,459.19999999997367,0.0,361.25051839138473,1.387999999999942,18.0,90.27102824811664,59.0,718.9576501901403,18.0,35.56765514966824,47.679906061142894,33.6934849388693,590.9813348119137,1533704517,97.0,455817.38477698795,14.168352861887442,64.34946898297135,-0.0018851022702876814,1.5943908691406252,4.499969482421875,107.56593406593407
VF1RFA00357131948,977.1765537292681,57.865938514991875,,9873,2.0858764648437513,6.0,21.895729914362544,21.218214961190565,,139.8731160592079,-0.1907530327302986,2061.5730622617534,22768.646636547295,1.0,0.0,225.30958149855837,69.23382403289308,17.946413478587594,-0.8654124977958941,80.999755859375,3.748793315603331,4.4503388052188555,17.62233368701134,1.5019059720457433,452.91426034653153,468.6999999999729,470.8999999999844,473.69999999997276,0.0,450.59647902878436,456.1999999999735,465.1999999999731,467.800000000027,0.0,449.45564683543046,462.0,459.3999999999863,465.8999999999852,0.0,443.39124277290983,437.3999999999903,462.69999999997316,461.69999999997316,0.0,,1.32400000000004,9.946007148386755,88.57933995669121,43.0,648.1184241562196,9.927384699781488,26.015880652512088,39.98166649785343,25.662702769462335,,1513193940,94.0,258528.53005082576,13.395909153141167,,-0.0016575191226734347,1.5577697753906252,4.499969482421876,89.65184243964421
